first_name,last_name,phone
Angelica,Flores,+16468303008
Allen,Luong,+15551110002
Hedi,El Batti,+15551110003
Fabien,Coste,+15551110004
Aly,Attia,+15551110005
Angel Fernando,Marin Manriquez,+15551110006
James,Vaughan,+15551110007
Gregory,Procopio,+15551110008
Dylan,Divito,+15551110009
Vasilia,Tikhonova,+15551110010
Sofia,Tikhonova,+15551110011
Neil,Iyer,+15551110012
Atilio,Tass,+15551110013
Tiki,Kastor,+15551110014
Suzanne,Vogt,+15551110015
Aiden,Tse,+15551110016
Tyler,Curtis,+15551110017
Matthew,Kang,+15551110018
